week_date,year,month,week_of_year,week_of_month,period,category_name,subcategory_name,metric_order,gl_name,gl_number,mtd,ytd,ttm,wtd,predicted_wtd
2020-08-02,2020,8,31,1,P8-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-68538.92,-68538.92,0,0.048956108
2020-08-09,2020,8,32,2,P8-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-68538.92,-68538.92,0,0.017025669
2020-08-16,2020,8,33,3,P8-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-68538.92,-68538.92,0,0.005921088
2020-08-23,2020,8,34,4,P8-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-68538.92,-68538.92,0,0.002059201
2020-08-30,2020,8,35,5,P8-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-68538.92,-68538.92,0,0.000716137
2020-09-06,2020,9,36,1,P9-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-77113.21,-77113.21,0,0.000249054
2020-09-13,2020,9,37,2,P9-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-77113.21,-77113.21,0,8.66E-05
2020-09-20,2020,9,38,3,P9-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-77113.21,-77113.21,0,3.01E-05
2020-09-27,2020,9,39,4,P9-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-77113.21,-77113.21,0,1.05E-05
2020-10-04,2020,10,40,1,P10-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-85687.5,-85687.5,0,3.64E-06
2020-10-11,2020,10,41,2,P10-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-85687.5,-85687.5,0,1.27E-06
2020-10-18,2020,10,42,3,P10-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-85687.5,-85687.5,0,4.41E-07
2020-10-25,2020,10,43,4,P10-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-85687.5,-85687.5,0,1.53E-07
2020-11-01,2020,11,44,1,P11-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-94261.79,-94261.79,0,5.33E-08
2020-11-08,2020,11,45,2,P11-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-94261.79,-94261.79,0,1.85E-08
2020-11-15,2020,11,46,3,P11-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-94261.79,-94261.79,0,6.45E-09
2020-11-22,2020,11,47,4,P11-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-94261.79,-94261.79,0,2.24E-09
2020-11-29,2020,11,48,5,P11-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-94261.79,-94261.79,0,7.80E-10
2020-12-06,2020,12,49,1,P12-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-102836.08,-102836.08,0,2.71E-10
2020-12-13,2020,12,50,2,P12-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-102836.08,-102836.08,0,9.43E-11
2020-12-20,2020,12,51,3,P12-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-102836.08,-102836.08,0,3.28E-11
2020-12-27,2020,12,52,4,P12-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-102836.08,-102836.08,0,1.14E-11
2021-01-03,2021,1,53,1,P1-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8574.29,-102847.16,0,-8.20E-09
2021-01-10,2021,1,1,2,P1-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8574.29,-102847.16,0,-1.79E-08
2021-01-17,2021,1,2,3,P1-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8574.29,-102847.16,0,-5.23E-08
2021-01-24,2021,1,3,4,P1-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8574.29,-102847.16,0,-1.50E-07
2021-01-31,2021,1,4,5,P1-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8574.29,-102847.16,0,-4.32E-07
2021-02-07,2021,2,5,1,P2-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-17148.58,-102858.24,0,-1.24E-06
2021-02-14,2021,2,6,2,P2-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-17148.58,-102858.24,0,-3.58E-06
2021-02-21,2021,2,7,3,P2-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-17148.58,-102858.24,0,-1.03E-05
2021-02-28,2021,2,8,4,P2-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-17148.58,-102858.24,0,-2.96E-05
2021-03-07,2021,3,9,1,P3-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-25722.87,-102869.32,0,-8.50E-05
2021-03-14,2021,3,10,2,P3-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-25722.87,-102869.32,0,-0.000244436
2021-03-21,2021,3,11,3,P3-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-25722.87,-102869.32,0,-0.00070286
2021-03-28,2021,3,12,4,P3-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-25722.87,-102869.32,0,-0.002021025
2021-04-04,2021,4,13,1,P4-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-34297.16,-102880.4,0,-0.005811318
2021-04-11,2021,4,14,2,P4-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-34297.16,-102880.4,0,-0.016710041
2021-04-18,2021,4,15,3,P4-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-34297.16,-102880.4,0,-0.048048556
2021-04-25,2021,4,16,4,P4-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-34297.16,-102880.4,0,-0.13816025
2021-05-02,2021,5,17,1,P5-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-42871.45,-102891.48,0,-0.397270077
2021-05-09,2021,5,18,2,P5-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-42871.45,-102891.48,0,-1.142322109
2021-05-16,2021,5,19,3,P5-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-42871.45,-102891.48,0,-3.284666628
2021-05-23,2021,5,20,4,P5-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-42871.45,-102891.48,0,-9.444826975
2021-05-30,2021,5,21,5,P5-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-42871.45,-102891.48,0,-27.1579328
2021-06-06,2021,6,22,1,P6-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-51445.74,-102891.48,0,-89.25414433
2021-06-13,2021,6,23,2,P6-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-51445.74,-102891.48,0,4.1286053
2021-06-20,2021,6,24,3,P6-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-51445.74,-102891.48,0,9.612133543
2021-06-27,2021,6,25,4,P6-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-51445.74,-102891.48,0,27.56198124
2021-07-04,2021,7,26,1,P7-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-59866.95,-102738.4,0,90.41341975
2021-07-11,2021,7,27,2,P7-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-59866.95,-102738.4,0,-0.795202908
2021-07-18,2021,7,28,3,P7-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-59866.95,-102738.4,0,-0.027116972
2021-07-25,2021,7,29,4,P7-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-59866.95,-102738.4,0,-0.000897789
2021-08-01,2021,8,30,1,P8-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-68288.16,-102585.32,0,-7.88E-06
2021-08-08,2021,8,31,2,P8-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-68288.16,-102585.32,0,1.82E-05
2021-08-15,2021,8,32,3,P8-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-68288.16,-102585.32,0,1.56E-05
2021-08-22,2021,8,33,4,P8-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-68288.16,-102585.32,0,1.27E-05
2021-08-29,2021,8,34,5,P8-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-68288.16,-102585.32,0,1.03E-05
2021-09-05,2021,9,35,1,P9-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-76709.37,-102432.24,0,8.31E-06
2021-09-12,2021,9,36,2,P9-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-76709.37,-102432.24,0,6.74E-06
2021-09-19,2021,9,37,3,P9-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-76709.37,-102432.24,0,5.46E-06
2021-09-26,2021,9,38,4,P9-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-76709.37,-102432.24,0,4.43E-06
2021-10-03,2021,10,39,1,P10-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-84914.68,-102063.26,0,3.60E-06
2021-10-10,2021,10,40,2,P10-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-84914.68,-102063.26,0,2.96E-06
2021-10-17,2021,10,41,3,P10-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-84914.68,-102063.26,0,2.51E-06
2021-10-24,2021,10,42,4,P10-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-84914.68,-102063.26,0,2.35E-06
2021-10-31,2021,10,43,5,P10-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-84914.68,-102063.26,0,2.82E-06
2021-11-07,2021,11,44,1,P11-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-92685.5,-101259.79,0,4.90E-06
2021-11-14,2021,11,45,2,P11-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-92685.5,-101259.79,0,1.15E-05
2021-11-21,2021,11,46,3,P11-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-92685.5,-101259.79,0,3.10E-05
2021-11-28,2021,11,47,4,P11-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-92685.5,-101259.79,0,8.74E-05
2021-12-05,2021,12,48,1,P12-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-100314.98,-100314.98,0,0.000249983
2021-12-12,2021,12,49,2,P12-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-100314.98,-100314.98,0,0.000717463
2021-12-19,2021,12,50,3,P12-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-100314.98,-100314.98,0,0.002056707
2021-12-26,2021,12,51,4,P12-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-100314.98,-100314.98,0,0.005787859
2022-01-02,2022,1,52,1,P1-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8308.9,-100049.59,0,9.51E-05
2022-01-09,2022,1,1,2,P1-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8308.9,-100049.59,0,2.37E-07
2022-01-16,2022,1,2,3,P1-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8308.9,-100049.59,0,1.52E-07
2022-01-23,2022,1,3,4,P1-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8308.9,-100049.59,0,6.17E-08
2022-01-30,2022,1,4,5,P1-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8308.9,-100049.59,0,-3.85E-08
2022-02-06,2022,2,5,1,P2-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-16617.8,-99784.2,0,-1.53E-07
2022-02-13,2022,2,6,2,P2-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-16617.8,-99784.2,0,-2.88E-07
2022-02-20,2022,2,7,3,P2-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-16617.8,-99784.2,0,-4.48E-07
2022-02-27,2022,2,8,4,P2-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-16617.8,-99784.2,0,-6.42E-07
2022-03-06,2022,3,9,1,P3-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-24823.11,-99415.22,0,-8.78E-07
2022-03-13,2022,3,10,2,P3-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-24823.11,-99415.22,0,-1.17E-06
2022-03-20,2022,3,11,3,P3-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-24823.11,-99415.22,0,-1.52E-06
2022-03-27,2022,3,12,4,P3-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-24823.11,-99415.22,0,-1.96E-06
2022-04-03,2022,4,13,1,P4-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-32593.93,-98611.75,0,-2.50E-06
2022-04-10,2022,4,14,2,P4-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-32593.93,-98611.75,0,-3.17E-06
2022-04-17,2022,4,15,3,P4-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-32593.93,-98611.75,0,-3.99E-06
2022-04-24,2022,4,16,4,P4-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-32593.93,-98611.75,0,-5.02E-06
2022-05-01,2022,5,17,1,P5-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-40223.41,-97666.94,0,-6.28E-06
2022-05-08,2022,5,18,2,P5-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-40223.41,-97666.94,0,-7.85E-06
2022-05-15,2022,5,19,3,P5-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-40223.41,-97666.94,0,-9.80E-06
2022-05-22,2022,5,20,4,P5-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-40223.41,-97666.94,0,-1.23E-05
2022-05-29,2022,5,21,5,P5-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-40223.41,-97666.94,0,-1.70E-05
2022-06-05,2022,6,22,1,P6-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-47852.89,-96722.13,0,199.6185514
2022-06-12,2022,6,23,2,P6-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-47852.89,-96722.13,0,31.44577976
2022-06-19,2022,6,24,3,P6-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-47852.89,-96722.13,0,30.46970918
2022-06-26,2022,6,25,4,P6-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-47852.89,-96722.13,0,29.55200886
2022-07-03,2022,7,26,1,P7-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-4472.06,-59954.43,-100402.46,-1030.428571,-170.9307786
2022-07-10,2022,7,27,2,P7-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-4472.06,-59954.43,-100402.46,-1030.428571,-868.7324539
2022-07-17,2022,7,28,3,P7-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-4472.06,-59954.43,-100402.46,-1030.428571,-873.2044557
2022-07-24,2022,7,29,4,P7-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-4472.06,-59954.43,-100402.46,-1030.428571,-877.4337632
2022-07-31,2022,7,30,5,P7-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-4472.06,-59954.43,-100402.46,-1030.428571,-881.437424
2022-08-07,2022,8,31,1,P8-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-72017.51,-104044.33,0,-885.2302029
2022-08-14,2022,8,32,2,P8-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-72017.51,-104044.33,0,-27.9741939
2022-08-21,2022,8,33,3,P8-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-72017.51,-104044.33,0,-27.26863873
2022-08-28,2022,8,34,4,P8-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-72017.51,-104044.33,0,-26.59150443
2022-09-04,2022,9,35,1,P9-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,103.85,-83877.51,-107483.12,23.92857143,-25.93988258
2022-09-11,2022,9,36,2,P9-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,103.85,-83877.51,-107483.12,23.92857143,-5.375948188
2022-09-18,2022,9,37,3,P9-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,103.85,-83877.51,-107483.12,23.92857143,-4.679279314
2022-09-25,2022,9,38,4,P9-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,103.85,-83877.51,-107483.12,23.92857143,-4.003699539
2022-10-02,2022,10,39,1,P10-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-103.85,-95616.27,-111016.57,-23.92857143,-3.345982846
2022-10-09,2022,10,40,2,P10-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-103.85,-95616.27,-111016.57,-23.92857143,-42.468845
2022-10-16,2022,10,41,3,P10-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-103.85,-95616.27,-111016.57,-23.92857143,-41.99315534
2022-10-23,2022,10,42,4,P10-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-103.85,-95616.27,-111016.57,-23.92857143,-41.51476189
2022-10-30,2022,10,43,5,P10-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-103.85,-95616.27,-111016.57,-23.92857143,-41.02888217
2022-11-06,2022,11,44,1,P11-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-107183.5,-114812.98,0,-40.52997552
2022-11-13,2022,11,45,2,P11-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-107183.5,-114812.98,0,-20.2022825
2022-11-20,2022,11,46,3,P11-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-107183.5,-114812.98,0,-19.59534631
2022-11-27,2022,11,47,4,P11-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-107183.5,-114812.98,0,-18.96037834
2022-12-04,2022,12,48,1,P12-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-118684.96,-118684.96,0,-18.28850537
2022-12-11,2022,12,49,2,P12-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-118684.96,-118684.96,0,-17.56965627
2022-12-18,2022,12,50,3,P12-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-118684.96,-118684.96,0,-16.79249608
2022-12-25,2022,12,51,4,P12-22,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-118684.96,-118684.96,0,-15.94451615
2023-01-01,2023,1,52,1,P1-23,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-11963.85,-122339.91,0,-15.01195474
2023-01-08,2023,1,1,2,P1-23,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-11963.85,-122339.91,0,-28.81285291
